target,is_white,material_diff,rating_diff,mobility_count,king_moved,open_Center Game,open_Kings Pawn Opening 1...e5,open_Kings Pawn Opening Kings Knight Variation,open_Other,open_Scandinavian Defense,open_Scandinavian Defense Mieses Kotrc Variation 3.Nc3,open_Scotch Game
0,0.0,-3.0,-41,23.0,0.0,False,False,False,True,False,False,False
1,1.0,-1.0,-4,32.0,1.0,False,False,False,False,False,False,False
1,0.0,5.0,25,45.0,1.0,False,False,False,True,False,False,False
0,1.0,0.0,-26,39.0,1.0,False,False,False,True,False,False,False
0,0.0,-9.0,-31,21.0,1.0,False,False,False,True,False,False,False
1,0.0,-5.0,88,38.0,1.0,False,False,False,True,False,False,False
0,1.0,-11.0,5,30.0,1.0,False,False,True,False,False,False,False
0,1.0,-5.0,-37,22.0,1.0,False,False,False,False,False,False,False
0,0.0,-9.0,-18,35.0,1.0,False,False,True,False,False,False,False
1,0.0,-2.0,23,45.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,21,41.0,1.0,False,False,False,True,False,False,False
0,1.0,4.0,-3,0.0,1.0,False,False,False,True,False,False,False
0,0.0,-6.0,-19,1.0,1.0,False,False,True,False,False,False,False
1,1.0,11.0,180,26.0,1.0,False,False,False,True,False,False,False
1,1.0,-3.0,22,8.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,4,35.0,1.0,False,False,False,True,False,False,False
1,0.0,13.0,39,28.0,0.0,False,False,False,True,False,False,False
1,0.0,-2.0,8,2.0,0.0,False,False,False,True,False,False,False
0,1.0,0.0,-31,46.0,0.0,False,False,False,True,False,False,False
1,1.0,3.0,29,38.0,1.0,False,False,False,True,False,False,False
0,0.0,-8.0,1,4.0,1.0,False,False,False,False,True,False,False
0,1.0,-6.0,-35,6.0,1.0,False,False,False,False,False,False,False
1,0.0,-6.0,17,34.0,1.0,False,False,False,True,False,False,False
1,1.0,0.0,28,33.0,1.0,False,False,False,True,False,False,False
0,0.0,2.0,5,3.0,1.0,False,False,False,True,False,False,False
1,1.0,-7.0,49,33.0,1.0,False,False,False,True,False,False,False
0,1.0,-5.0,7,39.0,1.0,False,False,False,False,False,False,False
0,1.0,0.0,-39,36.0,1.0,False,False,False,True,False,False,False
1,1.0,-6.0,37,32.0,1.0,False,False,False,True,False,False,False
0,0.0,-5.0,0,35.0,1.0,False,False,False,True,False,False,False
0,1.0,-5.0,-19,38.0,1.0,False,False,False,True,False,False,False
0,0.0,-9.0,-28,33.0,0.0,False,False,False,True,False,False,False
0,1.0,-6.0,-34,41.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,12,43.0,0.0,False,True,False,False,False,False,False
0,0.0,-1.0,-31,33.0,1.0,False,True,False,False,False,False,False
1,1.0,7.0,-5,38.0,1.0,False,False,False,True,False,False,False
1,0.0,-2.0,28,27.0,0.0,False,False,False,True,False,False,False
1,0.0,0.0,12,35.0,1.0,False,False,False,True,False,False,False
0,1.0,-3.0,-26,31.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,-1,28.0,1.0,False,False,False,True,False,False,False
